session_id,cart_time,purchase_time,gap_minutes,gap_seconds
0071a35f-b098-4a54-927a-910e16b781b7,2019-11-14 15:13:50+00:00,2019-11-14 15:15:39+00:00,1.8166666666666667,109.0
02178de6-3ef1-4cf0-9a15-b30a31d6685e,2019-11-13 05:07:54+00:00,2019-11-13 05:23:09+00:00,15.25,915.0
037c16ce-b9d2-44b4-ad23-8d01acad20ae,2019-11-28 21:40:01+00:00,2019-11-28 21:40:17+00:00,0.26666666666666666,16.0
04d9510a-cefe-4411-b3e0-1b3c6b27a45e,2019-11-19 15:31:23+00:00,2019-11-19 15:31:38+00:00,0.25,15.0
058edb76-b4a7-4fc6-997e-7bd7cf8c4775,2019-11-29 16:59:02+00:00,2019-11-29 16:59:26+00:00,0.4,24.0
09d8ae0e-4b93-4c28-abd6-0a1136719582,2019-11-10 08:38:14+00:00,2019-11-10 08:39:09+00:00,0.9166666666666666,55.0
0e2de7f4-625b-4d2f-8029-cb3c69104d0e,2019-11-12 11:09:45+00:00,2019-11-12 11:13:13+00:00,3.466666666666667,208.0
15ac5e78-7379-4231-869d-e422df33514a,2019-11-17 12:59:59+00:00,2019-11-17 13:01:35+00:00,1.6,96.0
1988a975-94ce-40db-be82-de7615d23f76,2019-11-29 14:50:19+00:00,2019-11-29 14:51:05+00:00,0.7666666666666667,46.0
1cbe97ae-fb9f-4311-a720-40a182910ee7,2019-11-17 12:07:51+00:00,2019-11-17 12:18:35+00:00,10.733333333333333,644.0
1fe8c189-6f3e-4f62-a971-ff4c721cf356,2019-11-30 04:35:27+00:00,2019-11-30 04:36:47+00:00,1.3333333333333333,80.0
2118c389-8958-4709-8a97-f84a61ae9cb6,2019-11-17 16:57:39+00:00,2019-11-17 17:02:07+00:00,4.466666666666667,268.0
27c4eda6-b4db-4ae4-8b73-e4818f71ed88,2019-11-27 12:09:33+00:00,2019-11-27 12:13:23+00:00,3.8333333333333335,230.0
28561e11-0d75-42ba-837e-d2e6cee7785b,2019-11-29 17:05:21+00:00,2019-11-29 17:09:03+00:00,3.7,222.0
