business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,due_in_date_parsed,clear_date_parsed,late_payment,posting_date_parsed,amount,payment_terms,invoice_age_days,posting_month,posting_year,posting_quarter,due_month,due_day_of_week,customer_late_rate,customer_invoice_count,customer_avg_delay
U001,0200769623,WAL-MAR ,2019-01-15 00:00:00,2019.0,1928541521.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,12491.86,20181230.0,NAH4,1928541521.0,0,2019-01-14,2019-01-15,1,2018-12-30,12491.86,NAH4,15,12,2018,4,1,0,0.0,0,0.0
U001,0200794332,COST us,2019-01-15 00:00:00,2019.0,1928535195.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,51473.49,20181230.0,NAAX,1928535195.0,0,2019-01-14,2019-01-15,1,2018-12-30,51473.49,NAAX,15,12,2018,4,1,0,0.0,0,0.0
U001,0200769623,WAL-MAR systems,2019-01-10 00:00:00,2019.0,1928542935.0,2018-12-30,20181230,20181230,20190114.0,USD,RV,1.0,,41840.55,20181230.0,NAH4,1928542935.0,0,2019-01-14,2019-01-10,0,2018-12-30,41840.55,NAH4,15,12,2018,4,1,0,1.0,1,1.0
U001,0200726979,BJ'S  foundation,2019-01-15 00:00:00,2019.0,1928540409.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,58.18,20181230.0,NAA8,1928540409.0,0,2019-01-14,2019-01-15,1,2018-12-30,58.18,NAA8,15,12,2018,4,1,0,0.0,0,0.0
U001,0200707822,PUBLI us,2019-01-14 00:00:00,2019.0,1928544820.0,2018-12-30,20181230,20181230,20190114.0,USD,RV,1.0,,110990.78,20181230.0,NAA8,1928544820.0,0,2019-01-14,2019-01-14,0,2018-12-30,110990.78,NAA8,15,12,2018,4,1,0,0.0,0,0.0
U001,0200769623,WAL-MAR foundation,2019-01-09 00:00:00,2019.0,1928540651.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,14559.0,20181230.0,NAH4,1928540651.0,0,2019-01-14,2019-01-09,0,2018-12-30,14559.0,NAH4,15,12,2018,4,1,0,0.5,2,0.5
U001,0200769623,WAL-MAR associates,2019-01-09 00:00:00,2019.0,1928540612.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,15805.63,20181230.0,NAH4,1928540612.0,0,2019-01-14,2019-01-09,0,2018-12-30,15805.63,NAH4,15,12,2018,4,1,0,0.6666666666666666,3,1.0
U001,0200769623,WAL-MAR associates,2019-01-09 00:00:00,2019.0,1928541913.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,4890.99,20181230.0,NAH4,1928541913.0,0,2019-01-14,2019-01-09,0,2018-12-30,4890.99,NAH4,15,12,2018,4,1,0,0.5,4,0.75
U001,0200769623,WAL-MAR systems,2019-01-09 00:00:00,2019.0,1928535214.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,3629.22,20181230.0,NAH4,1928535214.0,0,2019-01-14,2019-01-09,0,2018-12-30,3629.22,NAH4,15,12,2018,4,1,0,0.4,5,0.6
U001,0200769623,WAL-MAR corporation,2019-01-15 00:00:00,2019.0,1928538392.0,2018-12-30,20181229,20181230,20190114.0,USD,RV,1.0,,70483.35,20181230.0,NAH4,1928538392.0,0,2019-01-14,2019-01-15,1,2018-12-30,70483.35,NAH4,15,12,2018,4,1,0,0.3333333333333333,6,0.5
